citedTitle	docid	citedWork	citedAuthor	hot	year	source_id
NONE	357222390	B U FLORIDA I FOOD A	CRANE DR	no	1982	WOS:A1991GG70600019	
NONE	357228122	PLANT MINERAL NUTRIT	SILVA JA	no	1973	WOS:A1991GG70600019	
SILICON IN SOILS IRRIGATION WATER AND SUGARCANE-M OF HAWAII	103293929	Hawaii Farm Science	FOX R L	yes	1967	WOS:A1991GG70600019	
RATES OF DECLINE IN PRODUCTIVITY OF FLORIDA SUGARCANE	103293840	SOIL AND CROP SCIENCE SOCIETY OF FLORIDA PROCEEDINGS	ALVAREZ, J	yes	1980	WOS:A1991GG70600019	
NONE	357218554	AREC EV19835 U FLOR	ANDERSON DL	no	1983	WOS:A1991GG70600019	
The use of soluble silicates in Hawaiian agriculture.	103294002	University of Queensland Papers	PLUCKNETT, D. L.	yes	1972	WOS:A1991GG70600019	
NONE	357221403	FAO MANUAL EVALUA S1	CHIARAPPA L	no	1971	WOS:A1991GG70600019	
NONE	357213353	AGRONOMY FACTS	KIDDER G	no	1977	WOS:A1991GG70600019	
Leaf silicon in sugarcane, field corn and St. Augustine grass grown OH some Florida soils.	103293863	Proceedings. Soil and Crop Science Society of Florida	BAIR, R. A.	yes	1966	WOS:A1991GG70600019	
SILICON FERTILIZATION OF RICE ON EVERGLADES HISTOSOLS	6147389	SOIL SCIENCE SOCIETY OF AMERICA JOURNAL	SNYDER, GH	yes	1986	WOS:A1991GG70600019	
Sugarcane response to calcium silicate slag applied to organic and sand soils	6147303	International Society of Sugarcane Technologists Proceedings	Gascho, G. J.	no	1974	WOS:A1991GG70600019	
NONE	293073238	SAS/STAT guide for personal computers. Version	NONE	no	1985	WOS:A1991GG70600019	
THE EFFECTS OF DRYING UPON EXTRACTABLE PHOSPHORUS, POTASSIUM AND BULK-DENSITY OF ORGANIC AND MINERAL SOILS OF THE EVERGLADES	94799708	SOIL SCIENCE SOCIETY OF AMERICA JOURNAL	ANDERSON, DL	yes	1985	WOS:A1991GG70600019	
RESIDUAL EFFECTS OF CALCIUM SILICATE IN TROPICAL SOILS .1. FATE OF APPLIED SILICON DURING 5 YEARS CROPPING	2634310	SOIL SCIENCE SOCIETY OF AMERICA JOURNAL	KHALID, RA	yes	1978	WOS:A1991GG70600019	
SILICON STATUS OF FLORIDA SUGARCANE	103293962	SOIL AND CROP SCIENCE SOCIETY OF FLORIDA PROCEEDINGS	GASCHO, GJ	yes	1977	WOS:A1991GG70600019	
NONE	6646367	CRC HDB AGR PRODUCTI	DEREGIBUS VA	no	1982	WOS:A1993KT47500027	
NONE	397695454	IRRI102 RES PAP SER	CHAUHAN JS	no	1985	WOS:A1993KT47500027	
Commercial ratoon rice production in Texas, USA	45520506	Rice Ratoon	Bollich, C.	no	1988	WOS:A1993KT47500027	
CARBOHYDRATE RESERVES AND TILLERING OF SWITCHGRASS FOLLOWING CLIPPING	9580430	AGRONOMY JOURNAL	ANDERSON, B	yes	1989	WOS:A1993KT47500027	
NONE	375889297	THESIS OREGON STATE	CUEVASPEREZ FE	no	1980	WOS:A1993KT47500027	
NONE	45521600	ANNU REV PLANT PHYS	YOSHIDA S	no	1972	WOS:A1993KT47500027	
Rice ratooning as an alternative to double cropping in tropical Asia.	36595828	Rice ratooning.	Krishnamurthy, K.	yes	1988	WOS:A1993KT47500027	
NONE	387146409	THESIS U PHILIPPINES	SAMSON BT	no	1980	WOS:A1993KT47500027	
1975	3262329	Crop Physiology: Some Case Histories	Murata, Y.	no	1975	WOS:A1993KT47500027	
NONE	112881937	P CROP SCI SOC JPN	TAKAHASHI Y	no	1959	WOS:A1993KT47500027	
N fertilizer management for maximum ratoon crop yields.	112881972	Rice ratooning.	Turner, F. T.	yes	1988	WOS:A1993KT47500027	
NONE	397673369	41 U WISC RES PAP	SMITH D	no	1969	WOS:A1993KT47500027	
NONE	397761279	PR4679 TEX AGR EXP	TURNER FT	no	1989	WOS:A1993KT47500027	
NONE	112881770	19TH P RIC TECHN WOR	BOLLICH CN	no	1982	WOS:A1993KT47500027	
The accumulation process of carbohydrate in rice varieties in relation to their response to nitrogen In the tropics.	20009897	Soil and Plant Food	YOSHIDA, S.	yes	1968	WOS:A1993KT47500027	
Breeding and testing for superior ratooning ability of rice in Texas.	112881736	Rice ratooning.	Bollich, C. N.	yes	1988	WOS:A1993KT47500027	
NONE	287600863	Fundamentals of Rice Crop Science	Yoshida, S.	no	1981	WOS:000176362500019	
REGISTRATION OF BENGAL RICE	31194353	CROP SCIENCE	LINSCOMBE, SD	yes	1993	WOS:000176362500019	
Grouping in Rhizoctonia solani by hyphal anastomosis reaction.	3435966	RHIZOCTONIA SPECIES: TAXONOMY, MOLECULAR BIOLOGY, ECOLOGY, PATHOLOGY AND DISEASE CONTROL	Carling, DE	yes	1996	WOS:000176362500019	
Characterization by conventional techniques and PCR of Rhizoctonia solani isolates causing banded leaf sheath blight in maize	13225234	PLANT PATHOLOGY	Pascual, CB	yes	2000	WOS:000176362500019	
RICE SHEATH BLIGHT - A MAJOR RICE DISEASE	3436165	PLANT DISEASE	LEE, FN	yes	1983	WOS:000176362500019	
REGISTRATION OF KATY RICE	31194391	CROP SCIENCE	MOLDENHAUER, KAK	yes	1990	WOS:000176362500019	
TRANSFER OF BACTERIAL-BLIGHT AND BLAST RESISTANCE FROM THE TETRAPLOID WILD-RICE ORYZA-MINUTA TO CULTIVATED RICE, ORYZA-SATIVA	4615143	THEORETICAL AND APPLIED GENETICS	AMANTEBORDEOS, A	yes	1992	WOS:000176362500019	
NONE	31194194	IRRI PROGR REP 1992	*INT RIC RES I	no	1992	WOS:000176362500019	
NONE	406039967	143 U ARK COOP EXT S	SLATON N	no	1999	WOS:000176362500019	
NONE	320155706	The SAS System for Windows	NONE	no	1998	WOS:000176362500019	
Sheath blight	19555304	Compendium of Rice Diseases	Rush, MC	no	1992	WOS:000176362500019	
Estimating method of severity and yield loss by rice sheath blight disease	31194313	Bulletin of the Hokuriku National Agricultural Experiment Station	Hashiba, T.	no	1984	WOS:000176362500019	
RESISTANCE TO SHEATH ROT SHR OF BREEDING LINES DERIVED FROM ORYZA-OFFICINALIS	31194347	International Rice Research Newsletter	LAKSHMANAN P	yes	1991	WOS:000176362500019	
A uniform, objective, and adaptive system for expressing rice development	8389075	CROP SCIENCE	Counce, PA	yes	2000	WOS:000176362500019	
REGISTRATION OF LEBONNET RICE	2238279	CROP SCIENCE	BOLLICH, CN	yes	1975	WOS:000176362500019	
REGISTRATION OF MAYBELLE RICE	31194240	CROP SCIENCE	BOLLICH, CN	yes	1991	WOS:000176362500019	
NONE	405999629	P RIC TECH WORK GROU	JIA Y	no	2002	WOS:000176362500019	
Analyzing crop losses due to Rhizoctonia solani: Rice sheath blight, a case study	6127724	RHIZOCTONIA SPECIES: TAXONOMY, MOLECULAR BIOLOGY, ECOLOGY, PATHOLOGY AND DISEASE CONTROL	Savary, S	yes	1996	WOS:000176362500019	
SELECTION FOR RESISTANCE TO RICE SHEATH BLIGHT THROUGH NUMBER OF INFECTION CUSHIONS AND LESION TYPE	9091559	PLANT DISEASE	GROTH, DE	yes	1992	WOS:000176362500019	
NONE	2238503	CROP SCI	JOHNSTON TH	no	1979	WOS:000176362500019	
CHARACTERIZATION OF QUANTITATIVE TRAIT LOCI (QTLS) IN CULTIVATED RICE CONTRIBUTING TO FIELD-RESISTANCE TO SHEATH BLIGHT (RHIZOCTONIA-SOLANI)	10790506	THEORETICAL AND APPLIED GENETICS	LI, ZK	yes	1995	WOS:000176362500019	
REGISTRATION OF CYPRESS RICE	2866570	CROP SCIENCE	LINSCOMBE, SD	yes	1993	WOS:000176362500019	
REGISTRATION OF LEAH RICE	31194494	CROP SCIENCE	TRAHAN, GJ	yes	1982	WOS:000176362500019	
EVALUATION OF WILD ORYZA SPECIES FOR STEM ROT (SCLEROTIUM-ORYZAE) RESISTANCE	17874858	PLANT DISEASE	FIGONI, RA	yes	1983	WOS:000176362500019	
NONE	322759286	WILD RELATIVES RICE	VAUGHN DA	no	1994	WOS:000176362500019	
REGISTRATION OF LACASSINE RICE	31194365	CROP SCIENCE	LINSCOMBE, SD	yes	1992	WOS:000176362500019	
REGISTRATION OF LSBR-33 AND LSBR-5 SHEATH BLIGHT RESISTANT GERMPLASM LINES OF RICE	6128126	CROP SCIENCE	XIE, QJ	yes	1992	WOS:000176362500019	
Major gene, nonallelic sheath blight resistance from the rice cultivars Jasmine 85 and Teqing	9092142	CROP SCIENCE	Pan, XB	yes	1999	WOS:000176362500019	
PROSPECTS OF INCREASING TROPICAL RICE PRODUCTION THROUGH RATOONING	29146218	AGRONOMY JOURNAL	BAHAR, FA	yes	1977	WOS:000309437800002	
Cutting energy of rice stem as influenced by internode position and dimensional characteristics of different varieties	419486229	AUSTRALIAN JOURNAL OF CROP SCIENCE	Alizadeh, Mohammad Reza	yes	2011	WOS:000309437800002	
Utilization of rice husk as an organic fertilizer to improve productivity and water use efficiency in rice fields	429696661	Afr. Crop Sci. Conf. Proc.	Ebaid, R. A.	no	2007	WOS:000309437800002	
Effects of Cutting Height and Trampling over Stubbles of the First Crop on Dry Matter Yield in Twice Harvesting of Forage Rice	94440134	PLANT PRODUCTION SCIENCE	Nakano, Hiroshi	yes	2009	WOS:000309437800002	
Upland rice varieties in Malaysia: agronomic and soil physico-chemical characteristics.	336808425	Pertanika Journal of Tropical Agricultural Science	Hanafi, M. M.	yes	2009	WOS:000309437800002	
Considerations in managing cutting height corn silage	439765550	NONE	Wu, Z.	no	2005	WOS:000309437800002	
Oryza sativa L.) intensification. 	419597605	Journal of Research ANGRAU	Sreedhar, M.	yes	2010	WOS:000309437800002	
NONE	261015533	Rice	Grist, D. H.	no	1965	WOS:000309437800002	
Yielding of asparagus depending on harvest ending date.	410379371	Vegetable Crops Research Bulletin	Knaflewski, M.	yes	2010	WOS:000309437800002	
Effects of sugarcane residue and green manure practices in sugarcane-ratoon-wheat sequence on productivity, soil fertility and soil biological properties	147933332	Archives of Agronomy and Soil Science	Chandra, Ramesh	yes	2008	WOS:000327935800003	
Response of sugarcane (Saccharum officinarum) to direct and residual effect of pressmud and nitrogen	463198873	Indian Journal of Agricultural Sciences	Tiwari, R. J.	no	1999	WOS:000327935800003	
rabi sorghum-chickpea system and fertility of a Vertisol. 	54235365	Journal of the Indian Society of Soil Science	Tolanur, S. I.	yes	2003	WOS:000327935800003	
Effect of different modes of zinc application on yield and quality of sugarcane in Calciorthents.	344087207	Journal of the Indian Society of Soil Science	Singh, K. D. N.	yes	2000	WOS:000327935800003	
Long-term effect of integrated nutrient management on productivity and sustainability of sugarcane in Calciorthent	415167845	Indian Journal of Sugarcane Technology	Thakur, S K	no	2007	WOS:000327935800003	
Influence of use of organic manure in combination with inorganic fertilizers on sugarcane and soil fertility.	80382797	Indian Sugar	Vijay Kumar	yes	2002	WOS:000327935800003	
Integrated nutrient management on growth, yield and quality of sugarcane	463198636	Indian Sugar	Jayaraman, S.	no	2003	WOS:000327935800003	
Effect of different micronutrients on cane yield and juice quality of sugarcane	463198533	Indian Sugar	Babu	no	2004	WOS:000327935800003	
Yield and soil nutrient balance of a sugarcane plant-ratoon system with conventional and organic nutrient management in sub-tropical India	78440296	NUTRIENT CYCLING IN AGROECOSYSTEMS	Singh, K. P.	yes	2007	WOS:000327935800003	
NONE	415167784	Sugarcane Hand Book	Spencer, G L	no	1955	WOS:000327935800003	
Effect of integrated use of fertilizers and organic manures on soil and crop productivity under sugarcane based cropping system	463198753	Indian Journal of Agricultural Sciences	Swamy, K.R.	no	1999	WOS:000327935800003	
Integrated nutrient management for sugarcane (Saccharum spp. hybrid complex) plant-ratoon system	327151111	Indian Journal of Agronomy	Virdia, H. M.	yes	2010	WOS:000327935800003	
Dry-matter production, sugar yield and nitrogen-sulphur recovery by sugarcane (Saccharum officinarum) as influenced by concentrated organic manure, nitrogen and sulphur fertilization	17013119	INDIAN JOURNAL OF AGRICULTURAL SCIENCES	Choudhary, CN	yes	2001	WOS:000327935800003	
Productivity, quality and soil fertility of sugarcane (Saccharum spp complex hybrid) plant and ratoon grown under organic and conventional farming system	441268244	INDIAN JOURNAL OF AGRICULTURAL SCIENCES	Thakur, S. K.	yes	2012	WOS:000327935800003	
EFFECT OF LONG-TERM MANURING AND FERTILIZATION ON SOIL-PHYSICAL PROPERTIES UNDER SOYBEAN (GLYCINE-MAX) WHEAT (TRITICUM-AESTIVUM) CROPPING SEQUENCE	58945591	INDIAN JOURNAL OF AGRICULTURAL SCIENCES	BHATNAGAR, VK	yes	1992	WOS:000327935800003	
Effect of long-term integrated nutrient management on some important properties of a Vertisol.	20845578	Journal of the Indian Society of Soil Science	Bellakki, M. A.	yes	1998	WOS:000327935800003	
Ratooning with rice hybrids.	344306209	Rice ratooning.	Sun, X. H.	yes	1988	WOS:000286565100006	
Gibberellin applied to the rice main crop increases ratoon-crop yield.	344925974	Crop Management	Rounds, E. W.	yes	2007	WOS:000286565100006	
Rice ratooning in West Bengal.	344294752	International Rice Research Newsletter	Mandal, B. K.	yes	1986	WOS:000286565100006	
Ratoon crop performance of experimental rice hybrids in Karnataka.	344965485	Karnataka Journal of Agricultural Sciences	Wali, M. C.	yes	1998	WOS:000286565100006	
Studies on comprehensive cultivation techniques for high yield of ratoon rice in Sichuan Province.	44527221	Journal of Southwest Agricultural University	Jiang ShiHua	yes	1995	WOS:000286565100006	
NONE	420986602	MADRAS AGR J	MANJAPPA K	no	2002	WOS:000286565100006	
Rice ratoon crop management in the hilly region of Karnataka.	344408282	Rice ratooning.	Reddy, T. G.	yes	1988	WOS:000286565100006	
Hybrid rice for mechanized agriculture.	80604030	Hybrid rice for food security, poverty alleviation and environmental protection. Proceedings of the 4th International Symposium on Hybrid Rice, Hanoi, Vietnam, 14-17 May, 2002	Walton, M.	yes	2003	WOS:000286565100006	
Performance of the main and ratoon crops of thirteen advanced rice selections under dry-seeded rainfed bunded conditions.	3088383	Philippine Journal of Crop Science	Nadal, A. M.	yes	1979	WOS:000286565100006	
RICE RATOON CROP YIELD LINKED TO MAIN CROP STEM CARBOHYDRATES	3088615	CROP SCIENCE	TURNER, FT	yes	1993	WOS:000286565100006	
Ratoon cropping of rice in Karnataka.	36595983	Indian Farming	Mahadevappa, M.	yes	1980	WOS:000286565100006	
Comparative milling, cooking and processing characteristics of first and ratoon crop rice.	344637389	Rice report 1976.	Webb, B. D.	yes	1977	WOS:000286565100006	
Relationship of physiological, growth and yield contributing parameters of locklodged rice ratoon crop.	344169526	Pakistan Journal of Applied Sciences	Oad, F. C.	yes	2002	WOS:000286565100006	
Selecting deep water rices with ratooning ability.	343968715	International Rice Research Newsletter	Chauhan, J. S.	yes	1986	WOS:000286565100006	
NONE	420986482	PHILIPPINE J CROP SC	LIBOON SP	no	2004	WOS:000286565100006	
Ratoon production of irrigated rice in Minas Gerais. Present situation and prospects.	344980036	Informe Agropecuario	Faria, E. A.	yes	1984	WOS:000286565100006	
STUBBLE PLANTING-PROMISING VEGETATIVE PROPAGATION METHOD FOR HYBRID RICE	58076947	International Rice Research Newsletter	MAHADEVAPPA M	yes	1989	WOS:000286565100006	
NONE	420986356	MEMOIRS FACULTY AGR	ICHII M	no	1984	WOS:000286565100006	
Oryza sativa L.) yield in a mid-cycle variety (J-104). 	91675184	Cultivos Tropicales	Polón, R.	yes	2006	WOS:000286565100006	
Rice ratooning management practices for higher yields	36594621	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	Santos, AB	yes	2003	WOS:000286565100006	
NONE	420986674	INT RICE RES NEWSLET	PALCHAMY A	no	1988	WOS:000286565100006	
Studies on ratooning in rice. 1. Growth attributes and yield.	24039288	Madras Agricultural Journal	BALASUBRAMANIAN, B.	yes	1970	WOS:000286565100006	
Evaluation for rice ratooning ability of intersubspecific hybrid and its relation to agronomic characters of mother plant.	344518739	Chinese Journal of Rice Science	Liu, Y. S.	yes	1992	WOS:000286565100006	
Yield, yield components and physico-chemical characters of the ratoon crop of Iranian rice cultivars	94486262	Acta Agronomica Hungarica	Jelodar, N. B.	yes	2005	WOS:000286565100006	
NONE	420985869	PER RIC	*WIK	no	1000	WOS:000286565100006	
NONE	420987012	2007 TEXAS RICE PROD	TARPLEY L	no	2007	WOS:000286565100006	
NONE	322601018	THESIS U PHILIPPINES	HAQUE MM	no	1975	WOS:000286565100006	
NONE	420986617	CURRENT RES	MEDAPPA CK	no	1976	WOS:000286565100006	
NONE	420986552	UAS TECH SER	MAHADEVAPPA M	no	1979	WOS:000286565100006	
Inheritance of regeneration ability in rice.	344965949	Oryza	Chauhan, J. S.	yes	1987	WOS:000286565100006	
NONE	420987002	2007 TEXAS RICE PROD	TARPLEY L	no	2007	WOS:000286565100006	
NONE	420986618	INDIAN FARMING	MEHER J	no	2008	WOS:000286565100006	
Ratoon regeneration in rices and their single-cross hybrids after three cuttings.	344953411	International Rice Research Newsletter	Rao, P. K. A.	yes	1986	WOS:000286565100006	
Breeding and application of quasi-aromatic hybrid rice II You 15 with high yield and strong blast resistance.	344866731	Hybrid Rice	Huang TingXu	yes	2002	WOS:000286565100006	
Effects of stubble height on the root system of ratooning rice.	247177445	Hybrid Rice	Yi ZhenXie	yes	2005	WOS:000286565100006	
Insect pests and their natural enemies in ratoon rice.	98268131	Rice Ratooning	Cruz, C. G. dela	yes	1988	WOS:000286565100006	
NONE	420986459	MADRAS AGR J	KUMARESAN M	no	1998	WOS:000286565100006	
Effects of nitrogen fertilizer rates on uptake and distribution of nitrogen in ratooning rice.	344751615	Fujian Journal of Agricultural Sciences	Jiang ZhaoWei	yes	2003	WOS:000286565100006	
REFLOOD TIMING FOR RATOON RICE GROWN ON EVERGLADES HISTOSOLS	20416555	AGRONOMY JOURNAL	COALE, FJ	yes	1994	WOS:000286565100006	
PROSPECTS OF INCREASING TROPICAL RICE PRODUCTION THROUGH RATOONING	29146218	AGRONOMY JOURNAL	BAHAR, FA	yes	1977	WOS:000286565100006	
NONE	420986260	THESIS U PHILIPPINES	GARCIA RN	no	1981	WOS:000286565100006	
NONE	84192285	RICE J	EVATT NS	no	1958	WOS:000286565100006	
NUTRIENT-UPTAKE AND ECONOMICS AS AFFECTED BY VARIETIES AND FERTILIZERS IN RATOON RICE (ORYZA-SATIVA)	65654291	INDIAN JOURNAL OF AGRONOMY	KASTURI, K	yes	1992	WOS:000286565100006	
Ratooning ability of deepwater rice varieties and lines in Bangladesh.	343883412	Proceedings of the 1987 International Deepwater Rice Workshop.	Bene, T. C.	yes	1988	WOS:000286565100006	
Ratoon tillering in short-duration rice varieties.	344387065	International Rice Research Newsletter	Chakraborty, P. K.	yes	1987	WOS:000286565100006	
Potential of rice ratooning in Madagascar.	344384246	Rice ratooning.	Shahi, B. B.	yes	1988	WOS:000286565100006	
Variability in bud number, bud length, and ratoon tillering in four rice varieties.	56771030	International Rice Research Newsletter	Gupta, S.	yes	1987	WOS:000286565100006	
NONE	420985976	P 1987 INT DEEP WAT	BENE TC	no	1987	WOS:000286565100006	
STUDIES ON LATERAL BUDS GROWTH INTO RATOON TILLERS IN EARLY-SEASON CULTURE OF RICE PLANTS	68766502	JAPANESE JOURNAL OF CROP SCIENCE	YOSHIDA, T	yes	1995	WOS:000286565100006	
Economic perspectives of rice ratooning.	344408216	Rice ratooning.	Flinn, J. C.	yes	1988	WOS:000286565100006	
JINGMAZHAN A HIGH-YIELDING GOOD QUALITY INDICA RICE FOR CHINA	148530245	International Rice Research Newsletter	LIAO C	yes	1990	WOS:000286565100006	
NONE	420986076	B TAICHUNG DISTRICT	CHANG LZ	no	1985	WOS:000286565100006	
A study on the physiological properties of ratooning rice - I. Effects of chloroplast pigment content during the harvest of the main crop.	344072718	Acta Agriculturae Universitatis Jiangxiensis	Cheng JianFeng	yes	2001	WOS:000286565100006	
Application of "3S" technology in climatic feasibility study of ratooning paddy growing in Jiangxi Province.	344803017	Acta Agriculturae Universitatis Jiangxiensis	Huang ShuE	yes	2001	WOS:000286565100006	
NONE	420985718	PHILIPPINE J CROP S1	REBANCOS ET	no	1988	WOS:000286565100006	
Registration of 'Jefferson' rice	6127197	CROP SCIENCE	McClung, AM	yes	1997	WOS:000286565100006	
Potential for rice ratooning in eastern India with special reference to photoperiod-sensitive rices for deepwater areas.	344530121	Rice ratooning.	Roy, S. K. B.	yes	1988	WOS:000286565100006	
Residual effect of organic manures and inorganic fertilizers on succeeding ratoon rice.	343821007	Madras Agricultural Journal	Singh, Y. V.	yes	1997	WOS:000286565100006	
NONE	420986038	ASA CSSA SSSA INT AN	BOND J	no	2005	WOS:000286565100006	
REGISTRATION OF TEXMONT RICE	113272058	CROP SCIENCE	BOLLICH, CN	yes	1993	WOS:000286565100006	
Varietal variation and evaluation procedures for ratooning ability in rice.	36595723	SABRAO Journal	Haque, M. M.	yes	1980	WOS:000286565100006	
Comparison of grain quality between main and ratooning crops of middle-season rice.	344099286	Hybrid Rice	Liu GuoHua	yes	2002	WOS:000286565100006	
NONE	420986963	SICHUAN AGR SCI TECH	SUN XH	no	1982	WOS:000286565100006	
A CLIMATOLOGICAL ANALYSIS OF YIELD DIFFERENCE BETWEEN THE 1ST AND 2ND RICE CROP IN TAIWAN	54576350	AGRICULTURAL AND FOREST METEOROLOGY	CHANG, JH	yes	1985	WOS:000286565100006	
NONE	115624245	AGRON NOTES	HODGES RJ	no	1969	WOS:000286565100006	
Lock-lodge technology for rice ratooning.	73703027	International Rice Research Notes	Mohan, R.	yes	1998	WOS:000286565100006	
Commercial ratoon rice production in Texas, USA	45520506	Rice Ratoon	Bollich, C.	no	1988	WOS:000286565100006	
Registration of 'Dellmati' rice	35731434	CROP SCIENCE	Jodari, F	yes	2003	WOS:000286565100006	
An ideal planting pattern for the adjustment of grain yield structure - middle season rice and its ratoon rice.	343979988	Journal of Hunan Agricultural University	Chen LiYun	yes	2000	WOS:000286565100006	
Relationships among yield, yield components and some features of ratooning rice.	252243450	Journal of Hunan Agricultural University	Tang WenBang	yes	2002	WOS:000286565100006	
Impact of direct seeding on rice cultivation: lessons from the Muda area of Malaysia	268493732	NONE	Ho, N. K.	no	2002	WOS:000286565100006	
Effects of growth regulators applied to the main crop on ratoonability of IR9784-52-2-3-2 in pots.	344428939	International Rice Research Newsletter	Quddus, M. A.	yes	1983	WOS:000286565100006	
NONE	375889297	THESIS OREGON STATE	CUEVASPEREZ FE	no	1980	WOS:000286565100006	
NONE	420986493	PHILIPPINES J CRO S1	LIBOON SP	no	2003	WOS:000286565100006	
Relationship between change in plant endogenous cytokinin content and germination and growth of ratooning buds of hybrid rice.	344748343	Hybrid Rice	Li JingYong	yes	2002	WOS:000286565100006	
Varieties suitable for direct seeding in the Ganges floodplain.	343858319	International Rice Research Newsletter	Singh, B. K.	yes	1987	WOS:000286565100006	
NONE	420986615	2007 TEXAS RICE PROD	MCCLUNG AM	no	2007	WOS:000286565100006	
APPLICATION OF RATOON TO A TEST OF AGRONOMIC CHARACTERS IN RICE BREEDING .2. THE RELATIONSHIP BETWEEN RATOON ABILITY AND LODGING RESISTANCE	51846281	JAPANESE JOURNAL OF BREEDING	ICHII, M	yes	1983	WOS:000286565100006	
Rices for winter and ratoon cropping in southern Karnataka, India.	58034242	Oryza	Mahadevappa, M.	yes	1988	WOS:000286565100006	
Interspecific difference in growth perenniality in rice cultivars, Oryza sativa L. and O-glaberrima Steud.	20863648	JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY	Kawahara, T	yes	1998	WOS:000286565100006	
Main and ratoon rice crop performance in mangrove swamps.	344404019	International Rice Research Newsletter	Jones, M. P.	yes	1987	WOS:000286565100006	
Rice ratooning and ratoon-based system in Kerala.	57586546	Rice ratooning.	Karunakaran, K.	yes	1988	WOS:000286565100006	
Rice ratooning as influenced by varieties, nitrogen and cutting height.	71629782	Madras Agricultural Journal	Balasubramanian, R.	yes	1997	WOS:000286565100006	
Studies on ratoon performance of leaf blast-susceptible varieties at ARS, Ponnampet, Karnataka.	344880756	International Rice Research Newsletter	Naidu, B. S.	yes	1986	WOS:000286565100006	
Ratooning of rice: An economically viable agrotechnology for flood prone areas.	81626238	Crop Research (Hisar)	Thanunathan, K.	yes	2002	WOS:000286565100006	
Evaluation of hybrid rices for ratooning ability.	127377820	International Rice Research Newsletter	Chauhan, J. S.	yes	1983	WOS:000286565100006	
Source-sink characteristics of main crop and ratoon crop of several new hybrid rice combinations.	247597919	Chinese Journal of Rice Science	Yi ZhenXie	yes	2005	WOS:000286565100006	
NONE	420987267	GROWTH YIELD RATOON	YOSHIDA T	no	1992	WOS:000286565100006	
Successive cropping of IR8 paddy with notes on ratooning.	24039280	Madras Agricultural Journal	RAMASWAMI, C.	yes	1970	WOS:000286565100006	
NONE	420987165	BEIJING YICHUANYOZHO	WENZHI L	no	1978	WOS:000286565100006	
NONE	420986721	2 REUN CULT ARR IRR	RAMOS MG	no	1981	WOS:000286565100006	
Evaluation of transplanted and ratoon crop for double cropping of rice (Oryza sativa L.) under organic input management in mid altitude sub-tropical Meghalaya	284297829	CURRENT SCIENCE	Munda, G. C.	yes	2009	WOS:000286565100006	
Rice ratooning practices in India.	57586525	Rice ratooning.	Mahadevappa, M.	yes	1988	WOS:000286565100006	
Morphology and physiology of ratoon rice.	16463688	Rice ratooning.	Vergara, B. S.	yes	1988	WOS:000286565100006	
REGENERATION TIME AND PATTERN OF RATOON-TILLER DEVELOPMENT IN IR-44 RICE (ORYZA-SATIVA)	233391993	INDIAN JOURNAL OF AGRICULTURAL SCIENCES	CHAUHAN, JS	yes	1989	WOS:000286565100006	
PTB 46 KAU1727 A HIGH-YIELDING WIDELY ADAPTABLE RICE VARIETY FROM KERALA INDIA	326087618	International Rice Research Newsletter	ROSAMMA C A	yes	1991	WOS:000286565100006	
NONE	420985506	AGRONOMIC STUDY MAIN	MAHARAJ K	no	1994	WOS:000286565100006	
2 rice segregates. 	343939587	International Rice Research Newsletter	Roy, S. K. B.	yes	1985	WOS:000286565100006	
NONE	420985609	6 DECADES RICE RES T	STANSEL JW	no	1975	WOS:000286565100006	
NONE	420987095	THESIS U SYDNEY AUST	VOTING V	no	1975	WOS:000286565100006	
Ratooning with rice hybrids.	344306209	Rice ratooning.	Sun, X. H.	yes	1988	WOS:000286565100006	
Gibberellin applied to the rice main crop increases ratoon-crop yield.	344925974	Crop Management	Rounds, E. W.	yes	2007	WOS:000286565100006	
Rice ratooning in West Bengal.	344294752	International Rice Research Newsletter	Mandal, B. K.	yes	1986	WOS:000286565100006	
Ratoon crop performance of experimental rice hybrids in Karnataka.	344965485	Karnataka Journal of Agricultural Sciences	Wali, M. C.	yes	1998	WOS:000286565100006	
Studies on comprehensive cultivation techniques for high yield of ratoon rice in Sichuan Province.	44527221	Journal of Southwest Agricultural University	Jiang ShiHua	yes	1995	WOS:000286565100006	
NONE	420986602	MADRAS AGR J	MANJAPPA K	no	2002	WOS:000286565100006	
Rice ratoon crop management in the hilly region of Karnataka.	344408282	Rice ratooning.	Reddy, T. G.	yes	1988	WOS:000286565100006	
Hybrid rice for mechanized agriculture.	80604030	Hybrid rice for food security, poverty alleviation and environmental protection. Proceedings of the 4th International Symposium on Hybrid Rice, Hanoi, Vietnam, 14-17 May, 2002	Walton, M.	yes	2003	WOS:000286565100006	
Performance of the main and ratoon crops of thirteen advanced rice selections under dry-seeded rainfed bunded conditions.	3088383	Philippine Journal of Crop Science	Nadal, A. M.	yes	1979	WOS:000286565100006	
RICE RATOON CROP YIELD LINKED TO MAIN CROP STEM CARBOHYDRATES	3088615	CROP SCIENCE	TURNER, FT	yes	1993	WOS:000286565100006	
Ratoon cropping of rice in Karnataka.	36595983	Indian Farming	Mahadevappa, M.	yes	1980	WOS:000286565100006	
